price,ad_title,href,location,square_meter,owner,real_estate_firm,id,img_href
"2 990 000,-","Helt ny, stor treroms leilighet med garasje på Moelven Park til gunstig fastpris: Kun 2.990.000 kr!",https://www.finn.no/realestate/homes/ad.html?finnkode=132571450,"Åsmarkvegen 16 B, Moelv",71 m²,Eier (Selveier),Privat,132571450,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/0/132/571/450_448847309.jpg
"2 750 000,-",Nøtterøy/Torød - Delikat og moderne 4-roms i andre etasje. Tøff arkitektur med hems og full takhøyde.,https://www.finn.no/realestate/homes/ad.html?finnkode=132571745,"Torødveien 22G, Torød",81 m²,Eier (Selveier),Eie Eiendomsmegling Tønsberg,132571745,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/5/132/571/745_1010882889.jpg
"5 200 000,-",FOSSEGRENDA - Enebolig med garasje - Solrik og stor terrasse - Innredet sokkel -  rett ved flotte turstier langs Nidelva,https://www.finn.no/realestate/homes/ad.html?finnkode=132556012,"Aksel Nilsens veg 35, Trondheim",191 m²,Eier (Selveier),DNB Eiendom AS,132556012,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/2/132/556/012_404215788.jpg
"4 300 000,-",ETTERSTAD - PEN 3-ROMS LEILIGHET MED FANTASTISK UTSIKT MOT BY OG FJORDEN - HEIS - VARMTVANN/FYRING INKL. - SENTRUMSNÆRT,https://www.finn.no/realestate/homes/ad.html?finnkode=132571098,"Etterstadsletta 47, Oslo, Helsfyr - Sinsen",71 m²,Andel,Aktiv Bryn Senter,132571098,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/8/132/571/098_1486351102.jpg
"9 250 000,-","Bærums Verk - Attraktiv enebolig over 2 plan, barnevennlig og solrikt beliggende m/4 sov, peis, garasje og praktikantdel",https://www.finn.no/realestate/homes/ad.html?finnkode=132571130,"Bakerovnsberget 17, Bærums Verk",234 m²,Eier (Selveier),Eie Eiendomsmegling Kolsås/Sandvika,132571130,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/0/132/571/130_573028389.jpg
"6 300 000,-",Oppsal/Eftasåsen - Pent rekkehus i meget barnevennlige omgivelser ved Østmarka. Mulighet for utbygging. Garasjeplass.,https://www.finn.no/realestate/homes/ad.html?finnkode=132571041,"Dalerudveien 6 b, Oslo, Østensjø",99 m²,Andel,PrivatMegleren Première,132571041,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/1/132/571/041_608845000.jpg
"3 500 000,-",Nordre Kråkerøy/Sentrum - Stilren leilighet i klassisk sveitservilla ved elvebredden,https://www.finn.no/realestate/homes/ad.html?finnkode=132571040,"Dalkleven 1A, Kråkerøy",80 m²,Eier (Selveier),PrivatMegleren Fredrikstad,132571040,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/0/132/571/040_303466018.jpg
"3 200 000,-",LINDEBERGÅSEN - Stor 3(4)-roms toppleilighet med fantastisk utsikt og fjordgløtt - God standard - Garasjeplass - Nærhet til marka,https://www.finn.no/realestate/homes/ad.html?finnkode=132571077,"Lindebergåsen 1A, Oslo, Furuset",83 m²,Andel,Aktiv Bryn Senter,132571077,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/7/132/571/077_1187827796.jpg
"3 800 000,-","Kråkerøy - Høyt, fritt og fredelig: Pen, kjedet bolig i stille blindvei",https://www.finn.no/realestate/homes/ad.html?finnkode=132570891,"Normanns vei 19, Kråkerøy",131 m²,Eier (Selveier),PrivatMegleren Fredrikstad,132570891,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/1/132/570/891_610490706.jpg
"4 200 000,-","Frogner - - Hyggelig enebolig med landlig beliggenhet, stor hage og kort gangavstand til butikker, skoler og tog. Oppussingsbehov.",https://www.finn.no/realestate/homes/ad.html?finnkode=132570872,"Hexebergvegen 36, Frogner",171 m²,Eier (Selveier),Aktiv Lillestrøm,132570872,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/2/132/570/872_51856770.jpg
